
Jugada generada el 2019-05-29 12:53:14.930083:
		5	-	16	-	28	-	30	-	31	-	34 
		3	-	21	-	23	-	25	-	30	-	34 
		2	-	12	-	18	-	19	-	31	-	33 
		2	-	5	-	14	-	16	-	20	-	31 
		4	-	20	-	22	-	24	-	29	-	44 
		2	-	3	-	12	-	16	-	22	-	25 
		13	-	34	-	41	-	43	-	44	-	45 
		2	-	3	-	24	-	27	-	34	-	42 
		4	-	8	-	19	-	35	-	44	-	45 
		4	-	16	-	18	-	20	-	24	-	32 
		13	-	25	-	31	-	44	-	45	-	24 
		2	-	8	-	13	-	21	-	28	-	33 
		7	-	10	-	14	-	27	-	30	-	40 
		3	-	8	-	12	-	14	-	32	-	35 
		6	-	17	-	32	-	38	-	45	-	15 
		9	-	10	-	11	-	17	-	19	-	20 
		8	-	17	-	30	-	36	-	38	-	45 
		19	-	23	-	25	-	26	-	29	-	36 
		2	-	9	-	20	-	22	-	31	-	33 
		1	-	7	-	12	-	29	-	40	-	41 
		4	-	10	-	30	-	38	-	41	-	45 
		7	-	29	-	30	-	31	-	40	-	41 
		5	-	19	-	24	-	32	-	36	-	38 
		3	-	16	-	20	-	22	-	25	-	30 
		1	-	27	-	35	-	36	-	38	-	40 
		7	-	27	-	36	-	40	-	41	-	44 
		2	-	5	-	17	-	41	-	42	-	43 
		7	-	9	-	11	-	13	-	22	-	31 
		12	-	15	-	21	-	28	-	32	-	40 
		1	-	4	-	10	-	13	-	15	-	21 
		7	-	17	-	20	-	33	-	34	-	39 
		8	-	9	-	10	-	12	-	13	-	19 
		1	-	2	-	15	-	23	-	24	-	27 
		2	-	10	-	11	-	20	-	25	-	37 
		9	-	24	-	25	-	27	-	29	-	31 
		3	-	7	-	9	-	21	-	24	-	34 
		7	-	9	-	10	-	14	-	22	-	32 
		1	-	17	-	27	-	29	-	43	-	45 
		10	-	24	-	33	-	42	-	43	-	44 
		4	-	7	-	12	-	44	-	45	-	27 
		4	-	19	-	27	-	28	-	33	-	36 
		7	-	15	-	21	-	23	-	24	-	26 
		12	-	16	-	20	-	30	-	31	-	34 
		4	-	5	-	11	-	15	-	19	-	26 
		2	-	7	-	19	-	30	-	35	-	42 
		18	-	35	-	37	-	40	-	41	-	44 
		10	-	12	-	13	-	20	-	37	-	45 
		5	-	10	-	22	-	28	-	43	-	45 
		2	-	17	-	24	-	45	-	14	-	26 
		2	-	11	-	20	-	25	-	33	-	37 
		5	-	10	-	20	-	22	-	26	-	35 
		3	-	6	-	13	-	33	-	42	-	45 
		13	-	17	-	18	-	30	-	36	-	45 
		8	-	12	-	16	-	24	-	31	-	36 
		2	-	5	-	8	-	21	-	25	-	27 
		6	-	22	-	23	-	30	-	34	-	35 
		2	-	4	-	6	-	15	-	22	-	32 
		1	-	2	-	19	-	21	-	45	-	18 
		3	-	6	-	13	-	14	-	18	-	35 
		3	-	7	-	17	-	25	-	29	-	34 
		17	-	39	-	40	-	42	-	43	-	45 
		8	-	10	-	16	-	34	-	38	-	42 
		16	-	18	-	20	-	24	-	39	-	42 
		2	-	13	-	18	-	20	-	22	-	25 
		11	-	34	-	39	-	41	-	43	-	44 
		11	-	21	-	23	-	41	-	42	-	44 
		2	-	6	-	19	-	23	-	27	-	35 
		2	-	4	-	23	-	42	-	44	-	45 
		12	-	20	-	30	-	32	-	39	-	43 
		7	-	12	-	31	-	33	-	39	-	41 
		4	-	9	-	10	-	11	-	15	-	24 
		4	-	8	-	19	-	20	-	25	-	26 
		7	-	17	-	18	-	20	-	21	-	26 
		5	-	27	-	29	-	32	-	39	-	42 
		5	-	7	-	12	-	17	-	32	-	39 
		7	-	12	-	18	-	35	-	37	-	42 
		3	-	11	-	15	-	22	-	39	-	43 
		1	-	7	-	19	-	41	-	43	-	45 
		8	-	25	-	30	-	39	-	40	-	44 
		4	-	6	-	9	-	12	-	16	-	18 
		11	-	16	-	20	-	23	-	33	-	39 
		3	-	12	-	22	-	28	-	36	-	43 
		9	-	14	-	15	-	22	-	23	-	34 
		8	-	10	-	19	-	33	-	42	-	45 
		13	-	18	-	27	-	35	-	37	-	43 
		10	-	19	-	25	-	28	-	36	-	40 
		11	-	18	-	19	-	37	-	40	-	41 
		4	-	18	-	20	-	26	-	29	-	35 
		2	-	12	-	16	-	17	-	25	-	41 
		13	-	15	-	25	-	28	-	35	-	45 
		3	-	8	-	9	-	13	-	14	-	17 
		11	-	13	-	35	-	39	-	42	-	43 
		1	-	7	-	12	-	15	-	20	-	27 
		1	-	21	-	33	-	40	-	41	-	42 
		2	-	4	-	8	-	10	-	12	-	22 
		5	-	22	-	28	-	32	-	33	-	41 
		2	-	9	-	16	-	17	-	27	-	32 
		5	-	13	-	27	-	37	-	38	-	45 
		4	-	13	-	22	-	29	-	36	-	37 
		4	-	38	-	41	-	44	-	45	-	17 
